Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/D, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 110  3 41   -7.08   533.0  12.34  7.01     4
2017 110  3 42   -7.16 99999.9 999.99 99.99     3
2017 110  3 43   -6.95 99999.9 999.99 99.99     2
2017 110  3 44   -6.96   526.1  11.66  6.45     1
2017 110  3 45   -6.89   525.1  12.11  6.68     1
2017 110  3 46   -7.55   526.2  12.11  6.71     0
2017 110  3 47   -6.49   524.1  11.76  6.46    -1
2017 110  3 48   -6.72   524.1  11.76  6.46    -1
2017 110  3 49   -7.01 99999.9 999.99 99.99    -1
2017 110  3 50   -7.13   523.0  11.42  6.25    -1
2017 110  3 51   -7.43   523.0  11.42  6.25    -1
2017 110  3 52   -7.11   526.0  10.64  5.89    -1
2017 110  3 53   -7.31   526.0  10.64  5.89     0
2017 110  3 54   -7.56   525.6  10.36  5.72     0
2017 110  3 55   -7.31   525.6  10.36  5.72     1
2017 110  3 56   -7.26   525.3  11.29  6.23     2
2017 110  3 57   -6.92   525.3  11.29  6.23     3
2017 110  3 58   -6.96   520.0  10.50  5.68     4
2017 110  3 59   -6.72   520.0  10.50  5.68     4
2017 110  4  0   -6.70   524.6  10.69  5.88     5
2017 110  4  1   -6.53   524.6  10.69  5.88     5
2017 110  4  2   -6.72   520.4  11.07  6.00     5
2017 110  4  3   -7.25   520.4  11.07  6.00     4
2017 110  4  4   -7.42   525.7  10.71  5.92     4
2017 110  4  5   -6.58   525.3  10.62  5.86     4
2017 110  4  6   -6.39   522.9   9.90  5.41     4
2017 110  4  7   -6.13   520.5  10.30  5.58     4
2017 110  4  8   -5.85   520.4  10.30  5.58     4
2017 110  4  9   -5.31   522.5  11.14  6.08     4
2017 110  4 10   -5.28   524.7  10.55  5.81     5
2017 110  4 11   -6.45   527.0  11.32  6.29     5
2017 110  4 12   -8.35   526.7  12.26  6.80     5
2017 110  4 13   -8.23   529.8  12.37  6.94     6
2017 110  4 14   -8.67   528.8  12.48  6.98     6
2017 110  4 15   -7.92   529.7  11.87  6.66     6
2017 110  4 16   -8.06   532.3  11.87  6.73     6
2017 110  4 17   -8.36   531.1  12.37  6.98     7
2017 110  4 18   -8.34 99999.9 999.99 99.99     7
2017 110  4 19   -6.99   524.4  11.90  6.54     7
2017 110  4 20   -7.23   524.4  11.90  6.54     7
2017 110  4 21   -7.55   526.4  12.06  6.68     7
2017 110  4 22   -7.07   526.6  12.06  6.69     7
