Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/H, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 196  5 49   -0.98   334.7   5.90  1.32     3
2017 196  5 50   -0.99   336.5   6.66  1.51     3
2017 196  5 51   -0.88   335.4   6.20  1.39     3
2017 196  5 52   -0.84   334.7   6.67  1.49     3
2017 196  5 53   -1.16   333.6   6.57  1.46     4
2017 196  5 54   -1.40   333.6   6.56  1.46     4
2017 196  5 55   -1.40 99999.9 999.99 99.99     4
2017 196  5 56   -1.41 99999.9 999.99 99.99     4
2017 196  5 57   -1.60   337.8   7.93  1.81     4
2017 196  5 58   -1.67   337.8   7.93  1.81     5
2017 196  5 59   -1.52   336.5   7.07  1.60     5
2017 196  6  0   -1.53   336.7   7.60  1.72     5
2017 196  6  1   -1.53   337.3   8.03  1.83     5
2017 196  6  2   -1.56   337.4   7.90  1.80     5
2017 196  6  3   -1.57   336.2   7.13  1.61     5
2017 196  6  4   -1.66   336.1   7.11  1.61     5
2017 196  6  5   -1.71   333.1   7.43  1.65     5
2017 196  6  6   -1.70   334.4   7.03  1.57     5
2017 196  6  7   -1.75   336.5   8.01  1.81     5
2017 196  6  8   -1.72   335.9   7.50  1.69     5
2017 196  6  9   -1.64   336.7   8.10  1.84     6
2017 196  6 10   -1.75   334.7   6.86  1.54     5
2017 196  6 11   -1.77   334.6   7.19  1.61     5
2017 196  6 12   -1.74   334.6   6.97  1.56     6
2017 196  6 13   -1.75   336.1   7.32  1.65     6
2017 196  6 14   -1.73   335.8   6.91  1.56     6
2017 196  6 15   -1.71   335.4   6.93  1.56     6
2017 196  6 16   -1.67   335.8   6.77  1.53     5
2017 196  6 17   -1.79   335.9   6.75  1.52     6
2017 196  6 18   -1.74   336.0   7.04  1.59     6
2017 196  6 19   -1.61   336.0   7.04  1.59     6
2017 196  6 20   -1.65   335.1   7.35  1.65     6
2017 196  6 21   -1.64   334.4   7.32  1.64     5
2017 196  6 22   -1.63   333.1   6.61  1.47     6
2017 196  6 23   -1.58   334.7   7.11  1.59     5
2017 196  6 24   -1.57   333.3   6.62  1.47     5
2017 196  6 25   -1.52   333.5   6.96  1.55     5
2017 196  6 26   -1.66   333.8   7.17  1.60     5
2017 196  6 27   -1.60 99999.9 999.99 99.99     5
2017 196  6 28   -1.53   332.9   6.18  1.37     5
2017 196  6 29   -1.57   332.9   6.14  1.36     5
2017 196  6 30   -1.60   332.4   5.87  1.30     5
2017 196  6 31   -1.16   332.8   5.97  1.32     5
2017 196  6 32   -1.47   334.3   6.08  1.36     5
2017 196  6 33   -1.60 99999.9 999.99 99.99     5
2017 196  6 34   -1.65   334.1   7.55  1.69     5
2017 196  6 35   -1.52   334.0   6.32  1.41     5
2017 196  6 36   -1.66   335.8   6.82  1.54     4
2017 196  6 37   -1.22   333.7   6.28  1.40     5
2017 196  6 38   -1.47   334.9   6.83  1.53     5
2017 196  6 39   -1.56   334.9   6.84  1.53     5
2017 196  6 40   -1.47   333.9   6.65  1.48     5
2017 196  6 41   -1.47   332.7   6.55  1.45     5
2017 196  6 42   -1.34   332.0   6.49  1.43     6
2017 196  6 43   -1.29   334.2   7.08  1.58     6
2017 196  6 44   -0.98   334.7   6.70  1.50     6
2017 196  6 45   -0.89   333.5   6.51  1.45     6
2017 196  6 46   -0.86   333.9   6.17  1.38     6
2017 196  6 47   -1.00   334.4   6.48  1.45     6
2017 196  6 48   -1.18   334.5   6.67  1.49     6
2017 196  6 49   -1.14   334.0   6.05  1.35     6
2017 196  6 50   -1.01 99999.9 999.99 99.99     6
2017 196  6 51   -1.12   333.3   6.88  1.53     6
2017 196  6 52   -0.78   333.4   6.57  1.46     6
2017 196  6 53   -0.61   334.5   6.06  1.36     6
2017 196  6 54   -0.69   333.4   6.34  1.41     6
2017 196  6 55   -0.33   333.0   6.46  1.43     6
2017 196  6 56   -0.84   331.5   5.86  1.29     6
2017 196  6 57   -1.24   332.7   6.29  1.39     6
2017 196  6 58   -1.35   331.3   5.48  1.20     6
2017 196  6 59   -1.38   331.3   5.60  1.23     6
2017 196  7  0   -1.42   331.3   5.64  1.24     6
2017 196  7  1   -1.91   335.0   5.71  1.28     6
2017 196  7  2   -1.19   334.8   5.72  1.28     6
2017 196  7  3   -1.15   333.4   5.93  1.32     6
2017 196  7  4   -1.26   332.7   6.15  1.36     6
2017 196  7  5   -1.15   333.8   6.11  1.36     6
2017 196  7  6   -0.87   335.1   6.23  1.40     6
2017 196  7  7   -0.76   334.4   5.69  1.27     6
2017 196  7  8   -0.79   334.1   5.51  1.23     6
2017 196  7  9   -0.66   333.6   5.26  1.17     5
2017 196  7 10   -0.61   333.5   5.33  1.19     5
2017 196  7 11   -0.75   333.2   5.05  1.12     5
2017 196  7 12   -1.03   332.5   5.55  1.23     5
2017 196  7 13   -1.21   333.4   5.20  1.16     5
2017 196  7 14   -1.22   333.6   5.32  1.18     5
2017 196  7 15   -1.18   332.8   5.91  1.31     5
2017 196  7 16   -1.14   332.7   5.79  1.28     5
2017 196  7 17   -1.12   332.6   5.31  1.17     5
2017 196  7 18   -1.07   332.9   5.35  1.19     4
2017 196  7 19   -1.04   333.4   5.35  1.19     4
2017 196  7 20   -1.09   333.9   5.45  1.22     4
2017 196  7 21   -1.08   333.8   5.00  1.11     4
2017 196  7 22   -1.03   332.5   5.40  1.19     4
2017 196  7 23   -1.04   332.6   5.33  1.18     4
2017 196  7 24   -0.90   333.0   5.02  1.11     4
2017 196  7 25   -0.98   332.1   5.27  1.16     4
2017 196  7 26   -0.98   334.0   4.93  1.10     4
2017 196  7 27   -1.00   334.2   4.97  1.11     4
2017 196  7 28   -1.13   334.0   5.31  1.18     4
2017 196  7 29   -1.18   333.3   5.05  1.12     4
2017 196  7 30   -1.12   334.4   5.32  1.19     4
2017 196  7 31   -1.05   332.6   5.18  1.15     4
2017 196  7 32   -0.88   332.5   5.17  1.14     4
2017 196  7 33   -0.76   334.1   5.82  1.30     4
2017 196  7 34   -0.74   334.4   5.52  1.23     5
2017 196  7 35   -0.76   334.3   5.45  1.22     5
2017 196  7 36   -0.66   334.3   5.51  1.23     5
2017 196  7 37   -0.75   333.9   5.86  1.31     5
2017 196  7 38   -0.73   334.3   5.31  1.19     4
2017 196  7 39   -0.70   334.7   6.02  1.35     5
2017 196  7 40   -0.73   333.4   5.79  1.29     5
2017 196  7 41   -0.70   334.0   5.83  1.30     5
2017 196  7 42   -0.56   334.0   5.17  1.15     5
2017 196  7 43   -0.60   334.1   5.74  1.28     4
2017 196  7 44   -0.61   333.6   5.34  1.19     4
2017 196  7 45   -0.60   331.6   6.05  1.33     4
